"filename", "language", "C++", "JSON", "YAML", "Dart", "Markdown", "Swift", "XML", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 8, 9, 62
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 7, 1, 22
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 7, 1, 22
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\ai_chat.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\community.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\crisis_support.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\screen1.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\screen2.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\screen3.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\animation\start_animation.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge1.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge2.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge3.svg", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge4.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge5.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Badge6.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\Country.svg", "XML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\ICON.svg", "XML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\medal1.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\medal2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\assets\images\medal3.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_chat_card.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 3, 69
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_chat_page.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 2, 4, 115
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\admin\admin_panel_page.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 3, 6, 119
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\auth_gate.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 2, 34
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\onboarding_view.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\astmo\AndroidStudioProjects\flutter_samples\lib\auth\signin_view.dart", "Dart", 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 12, 9, 296
