Date : 2024-10-03 19:12:49
Directory : c:\Users\astmo\AndroidStudioProjects\Greenovate\flutter_samples
Total : 130 files,  8211 codes, 835 comments, 612 blanks, all 9658 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         58 |      6,436 |        555 |        322 |      7,313 |
| XML        |         25 |        719 |         53 |         25 |        797 |
| C++        |         16 |        565 |        127 |        188 |        880 |
| JSON       |         14 |        219 |          0 |          4 |        223 |
| Gradle     |          3 |         83 |         10 |         17 |        110 |
| YAML       |          3 |         79 |         68 |         20 |        167 |
| Swift      |          6 |         70 |          7 |         20 |         97 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        130 |      8,211 |        835 |        612 |      9,658 |
| . (Files)                                                                                                                          |          5 |         90 |         68 |         27 |        185 |
| android                                                                                                                            |         17 |        250 |         61 |         30 |        341 |
| android (Files)                                                                                                                    |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                                                        |         13 |        204 |         59 |         20 |        283 |
| android\app (Files)                                                                                                                |          2 |         74 |          8 |          9 |         91 |
| android\app\src                                                                                                                    |         11 |        130 |         51 |         11 |        192 |
| android\app\src\debug                                                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                               |          9 |        124 |         43 |          9 |        176 |
| android\app\src\main (Files)                                                                                                       |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                                                           |          8 |         90 |         32 |          8 |        130 |
| android\app\src\main\res\drawable                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night                                                                                            |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night-v21                                                                                        |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                              |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                                          |          1 |         14 |          7 |          1 |         22 |
| android\app\src\main\res\values-v31                                                                                                |          1 |         14 |          7 |          1 |         22 |
| android\app\src\profile                                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                             |         18 |        185 |          0 |         11 |        196 |
| assets\animation                                                                                                                   |          7 |          7 |          0 |          0 |          7 |
| assets\images                                                                                                                      |         11 |        178 |          0 |         11 |        189 |
| ios                                                                                                                                |          9 |        170 |          4 |         13 |        187 |
| ios\Runner                                                                                                                         |          8 |        163 |          2 |          9 |        174 |
| ios\Runner (Files)                                                                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                         |          4 |         82 |          0 |          4 |         86 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                      |          1 |          1 |          0 |          0 |          1 |
